Active Voters,Total Ballots,Contest Name,Choice Name,Total Votes,Party,Precinct Name
1398.0,1030,United States Senator,Michael Bennet,664,DEM,"2151907002, 2171907636"
1398.0,1030,United States Senator,Joe O'Dea,340,REP,"2151907002, 2171907636"
1398.0,1030,United States Senator,T.J. Cole,4,UNI,"2151907002, 2171907636"
1398.0,1030,United States Senator,Brian Peotter,13,LBR,"2151907002, 2171907636"
1398.0,1030,United States Senator,Frank Atwood,1,APV,"2151907002, 2171907636"
1398.0,1030,United States Senator,John Carleton Rutledge (Write-In),0,LBR,"2151907002, 2171907636"
1398.0,1030,United States Senator,Robert Messman (Write-In),0,UAF,"2151907002, 2171907636"
1398.0,1030,United States Senator,Joanne Rock (Write-In),0,UAF,"2151907002, 2171907636"
1398.0,1030,United States Senator,Tom Harvey (Write-In),0,UAF,"2151907002, 2171907636"
500.0,401,United States Senator,Michael Bennet,338,DEM,"2184907003, 2154907900"
500.0,401,United States Senator,Joe O'Dea,55,REP,"2184907003, 2154907900"
500.0,401,United States Senator,T.J. Cole,4,UNI,"2184907003, 2154907900"
500.0,401,United States Senator,Brian Peotter,2,LBR,"2184907003, 2154907900"
500.0,401,United States Senator,Frank Atwood,1,APV,"2184907003, 2154907900"
500.0,401,United States Senator,John Carleton Rutledge (Write-In),0,LBR,"2184907003, 2154907900"
500.0,401,United States Senator,Robert Messman (Write-In),0,UAF,"2184907003, 2154907900"
500.0,401,United States Senator,Joanne Rock (Write-In),0,UAF,"2184907003, 2154907900"
500.0,401,United States Senator,Tom Harvey (Write-In),0,UAF,"2184907003, 2154907900"
0.0,0,United States Senator,Michael Bennet,0,DEM,2151207004
0.0,0,United States Senator,Joe O'Dea,0,REP,2151207004
0.0,0,United States Senator,T.J. Cole,0,UNI,2151207004
0.0,0,United States Senator,Brian Peotter,0,LBR,2151207004
0.0,0,United States Senator,Frank Atwood,0,APV,2151207004
0.0,0,United States Senator,John Carleton Rutledge (Write-In),0,LBR,2151207004
0.0,0,United States Senator,Robert Messman (Write-In),0,UAF,2151207004
0.0,0,United States Senator,Joanne Rock (Write-In),0,UAF,2151207004
0.0,0,United States Senator,Tom Harvey (Write-In),0,UAF,2151207004
1487.0,1089,United States Senator,Michael Bennet,767,DEM,2181207100
1487.0,1089,United States Senator,Joe O'Dea,290,REP,2181207100
1487.0,1089,United States Senator,T.J. Cole,9,UNI,2181207100
1487.0,1089,United States Senator,Brian Peotter,15,LBR,2181207100
1487.0,1089,United States Senator,Frank Atwood,2,APV,2181207100
1487.0,1089,United States Senator,John Carleton Rutledge (Write-In),0,LBR,2181207100
1487.0,1089,United States Senator,Robert Messman (Write-In),0,UAF,2181207100
1487.0,1089,United States Senator,Joanne Rock (Write-In),0,UAF,2181207100
1487.0,1089,United States Senator,Tom Harvey (Write-In),0,UAF,2181207100
1339.0,1041,United States Senator,Michael Bennet,791,DEM,2181207101
1339.0,1041,United States Senator,Joe O'Dea,223,REP,2181207101
1339.0,1041,United States Senator,T.J. Cole,6,UNI,2181207101
1339.0,1041,United States Senator,Brian Peotter,7,LBR,2181207101
1339.0,1041,United States Senator,Frank Atwood,0,APV,2181207101
1339.0,1041,United States Senator,John Carleton Rutledge (Write-In),0,LBR,2181207101
1339.0,1041,United States Senator,Robert Messman (Write-In),0,UAF,2181207101
1339.0,1041,United States Senator,Joanne Rock (Write-In),0,UAF,2181207101
1339.0,1041,United States Senator,Tom Harvey (Write-In),0,UAF,2181207101
1061.0,612,United States Senator,Michael Bennet,469,DEM,2181207102
1061.0,612,United States Senator,Joe O'Dea,120,REP,2181207102
1061.0,612,United States Senator,T.J. Cole,7,UNI,2181207102
1061.0,612,United States Senator,Brian Peotter,3,LBR,2181207102
1061.0,612,United States Senator,Frank Atwood,6,APV,2181207102
1061.0,612,United States Senator,John Carleton Rutledge (Write-In),0,LBR,2181207102
1061.0,612,United States Senator,Robert Messman (Write-In),0,UAF,2181207102
1061.0,612,United States Senator,Joanne Rock (Write-In),0,UAF,2181207102
1061.0,612,United States Senator,Tom Harvey (Write-In),0,UAF,2181207102
1128.0,857,United States Senator,Michael Bennet,597,DEM,2181207103
1128.0,857,United States Senator,Joe O'Dea,238,REP,2181207103
1128.0,857,United States Senator,T.J. Cole,3,UNI,2181207103
1128.0,857,United States Senator,Brian Peotter,7,LBR,2181207103
1128.0,857,United States Senator,Frank Atwood,3,APV,2181207103
1128.0,857,United States Senator,John Carleton Rutledge (Write-In),0,LBR,2181207103
1128.0,857,United States Senator,Robert Messman (Write-In),0,UAF,2181207103
