Precinct Name,Active Voters,Total Ballots,Contest Name,Choice Name,Party,Total Votes
2181007800,417,223,City of Boulder Council Candidates,Jared Kaszuba,,16
2181007800,417,223,City of Boulder Council Candidates,Lisa Morzel,,59
2181007800,417,223,City of Boulder Council Candidates,Leonard May,,36
2181007800,417,223,City of Boulder Council Candidates,Edward Jabari,,14
2181007800,417,223,City of Boulder Council Candidates,Cha Cha Spinrad,,9
2181007800,417,223,City of Boulder Council Candidates,Bob Yates,,93
2181007800,417,223,City of Boulder Council Candidates,Aaron Brockett,,69
2181007800,417,223,City of Boulder Council Candidates,Julianne McCabe,,48
2181007800,417,223,City of Boulder Council Candidates,Bill Rigler,,32
2181007800,417,223,City of Boulder Council Candidates,Tim Plass,,60
2181007800,417,223,City of Boulder Council Candidates,Cindy Carlisle,,47
2181007800,417,223,City of Boulder Council Candidates,Suzanne Jones,,52
2181007800,417,223,City of Boulder Council Candidates,Michael Kruteck,,88
2181007800,417,223,City of Boulder Council Candidates,Comrade Keith Percy,,6
2181007800,417,223,City of Boulder Council Candidates,Jyotsna Raj,,24
2181007800,417,223,City of Boulder Council Candidates,Jan Burton,,89
2181007800,417,223,City of Boulder Council Candidates,Don Cote,,55
2181007801,445,183,City of Boulder Council Candidates,Jared Kaszuba,,14
2181007801,445,183,City of Boulder Council Candidates,Lisa Morzel,,54
2181007801,445,183,City of Boulder Council Candidates,Leonard May,,34
2181007801,445,183,City of Boulder Council Candidates,Edward Jabari,,25
2181007801,445,183,City of Boulder Council Candidates,Cha Cha Spinrad,,6
2181007801,445,183,City of Boulder Council Candidates,Bob Yates,,67
2181007801,445,183,City of Boulder Council Candidates,Aaron Brockett,,50
2181007801,445,183,City of Boulder Council Candidates,Julianne McCabe,,26
2181007801,445,183,City of Boulder Council Candidates,Bill Rigler,,45
2181007801,445,183,City of Boulder Council Candidates,Tim Plass,,44
2181007801,445,183,City of Boulder Council Candidates,Cindy Carlisle,,53
2181007801,445,183,City of Boulder Council Candidates,Suzanne Jones,,58
2181007801,445,183,City of Boulder Council Candidates,Michael Kruteck,,64
2181007801,445,183,City of Boulder Council Candidates,Comrade Keith Percy,,6
2181007801,445,183,City of Boulder Council Candidates,Jyotsna Raj,,34
2181007801,445,183,City of Boulder Council Candidates,Jan Burton,,48
2181007801,445,183,City of Boulder Council Candidates,Don Cote,,42
2181007802,255,113,City of Boulder Council Candidates,Jared Kaszuba,,13
2181007802,255,113,City of Boulder Council Candidates,Lisa Morzel,,41
2181007802,255,113,City of Boulder Council Candidates,Leonard May,,29
2181007802,255,113,City of Boulder Council Candidates,Edward Jabari,,10
2181007802,255,113,City of Boulder Council Candidates,Cha Cha Spinrad,,5
2181007802,255,113,City of Boulder Council Candidates,Bob Yates,,37
2181007802,255,113,City of Boulder Council Candidates,Aaron Brockett,,24
2181007802,255,113,City of Boulder Council Candidates,Julianne McCabe,,12
2181007802,255,113,City of Boulder Council Candidates,Bill Rigler,,22
2181007802,255,113,City of Boulder Council Candidates,Tim Plass,,24
2181007802,255,113,City of Boulder Council Candidates,Cindy Carlisle,,52
2181007802,255,113,City of Boulder Council Candidates,Suzanne Jones,,34
2181007802,255,113,City of Boulder Council Candidates,Michael Kruteck,,31
2181007802,255,113,City of Boulder Council Candidates,Comrade Keith Percy,,6
2181007802,255,113,City of Boulder Council Candidates,Jyotsna Raj,,29
2181007802,255,113,City of Boulder Council Candidates,Jan Burton,,24
2181007802,255,113,City of Boulder Council Candidates,Don Cote,,23
2181007804,255,207,City of Boulder Council Candidates,Jared Kaszuba,,6
2181007804,255,207,City of Boulder Council Candidates,Lisa Morzel,,78
2181007804,255,207,City of Boulder Council Candidates,Leonard May,,49
2181007804,255,207,City of Boulder Council Candidates,Edward Jabari,,10
2181007804,255,207,City of Boulder Council Candidates,Cha Cha Spinrad,,7
2181007804,255,207,City of Boulder Council Candidates,Bob Yates,,87
2181007804,255,207,City of Boulder Council Candidates,Aaron Brockett,,67
2181007804,255,207,City of Boulder Council Candidates,Julianne McCabe,,31
2181007804,255,207,City of Boulder Council Candidates,Bill Rigler,,40
2181007804,255,207,City of Boulder Council Candidates,Tim Plass,,51
2181007804,255,207,City of Boulder Council Candidates,Cindy Carlisle,,78
2181007804,255,207,City of Boulder Council Candidates,Suzanne Jones,,82
2181007804,255,207,City of Boulder Council Candidates,Michael Kruteck,,72
2181007804,255,207,City of Boulder Council Candidates,Comrade Keith Percy,,2
2181007804,255,207,City of Boulder Council Candidates,Jyotsna Raj,,47
2181007804,255,207,City of Boulder Council Candidates,Jan Burton,,56
2181007804,255,207,City of Boulder Council Candidates,Don Cote,,56
2181007806,255,510,City of Boulder Council Candidates,Jared Kaszuba,,27
2181007806,255,510,City of Boulder Council Candidates,Lisa Morzel,,186
2181007806,255,510,City of Boulder Council Candidates,Leonard May,,107
2181007806,255,510,City of Boulder Council Candidates,Edward Jabari,,36
2181007806,255,510,City of Boulder Council Candidates,Cha Cha Spinrad,,16
2181007806,255,510,City of Boulder Council Candidates,Bob Yates,,209
2181007806,255,510,City of Boulder Council Candidates,Aaron Brockett,,199
2181007806,255,510,City of Boulder Council Candidates,Julianne McCabe,,60
2181007806,255,510,City of Boulder Council Candidates,Bill Rigler,,99
2181007806,255,510,City of Boulder Council Candidates,Tim Plass,,142
2181007806,255,510,City of Boulder Council Candidates,Cindy Carlisle,,141
2181007806,255,510,City of Boulder Council Candidates,Suzanne Jones,,177
2181007806,255,510,City of Boulder Council Candidates,Michael Kruteck,,174
2181007806,255,510,City of Boulder Council Candidates,Comrade Keith Percy,,14
2181007806,255,510,City of Boulder Council Candidates,Jyotsna Raj,,111
2181007806,255,510,City of Boulder Council Candidates,Jan Burton,,171
2181007806,255,510,City of Boulder Council Candidates,Don Cote,,99
2181007807,255,616,City of Boulder Council Candidates,Jared Kaszuba,,22
2181007807,255,616,City of Boulder Council Candidates,Lisa Morzel,,223
2181007807,255,616,City of Boulder Council Candidates,Leonard May,,141
2181007807,255,616,City of Boulder Council Candidates,Edward Jabari,,30
2181007807,255,616,City of Boulder Council Candidates,Cha Cha Spinrad,,34
2181007807,255,616,City of Boulder Council Candidates,Bob Yates,,265
2181007807,255,616,City of Boulder Council Candidates,Aaron Brockett,,246
2181007807,255,616,City of Boulder Council Candidates,Julianne McCabe,,88
2181007807,255,616,City of Boulder Council Candidates,Bill Rigler,,128
2181007807,255,616,City of Boulder Council Candidates,Tim Plass,,172
2181007807,255,616,City of Boulder Council Candidates,Cindy Carlisle,,176
2181007807,255,616,City of Boulder Council Candidates,Suzanne Jones,,228
2181007807,255,616,City of Boulder Council Candidates,Michael Kruteck,,207
2181007807,255,616,City of Boulder Council Candidates,Comrade Keith Percy,,8
2181007807,255,616,City of Boulder Council Candidates,Jyotsna Raj,,125
2181007807,255,616,City of Boulder Council Candidates,Jan Burton,,213
2181007807,255,616,City of Boulder Council Candidates,Don Cote,,144
2181007808,255,770,City of Boulder Council Candidates,Jared Kaszuba,,34
2181007808,255,770,City of Boulder Council Candidates,Lisa Morzel,,340
2181007808,255,770,City of Boulder Council Candidates,Leonard May,,177
2181007808,255,770,City of Boulder Council Candidates,Edward Jabari,,45
2181007808,255,770,City of Boulder Council Candidates,Cha Cha Spinrad,,76
2181007808,255,770,City of Boulder Council Candidates,Bob Yates,,301
2181007808,255,770,City of Boulder Council Candidates,Aaron Brockett,,333
2181007808,255,770,City of Boulder Council Candidates,Julianne McCabe,,69
2181007808,255,770,City of Boulder Council Candidates,Bill Rigler,,199
2181007808,255,770,City of Boulder Council Candidates,Tim Plass,,226
2181007808,255,770,City of Boulder Council Candidates,Cindy Carlisle,,221
2181007808,255,770,City of Boulder Council Candidates,Suzanne Jones,,371
2181007808,255,770,City of Boulder Council Candidates,Michael Kruteck,,159
2181007808,255,770,City of Boulder Council Candidates,Comrade Keith Percy,,21
2181007808,255,770,City of Boulder Council Candidates,Jyotsna Raj,,128
2181007808,255,770,City of Boulder Council Candidates,Jan Burton,,191
2181007808,255,770,City of Boulder Council Candidates,Don Cote,,77
2181007809,255,573,City of Boulder Council Candidates,Jared Kaszuba,,11
2181007809,255,573,City of Boulder Council Candidates,Lisa Morzel,,253
2181007809,255,573,City of Boulder Council Candidates,Leonard May,,116
2181007809,255,573,City of Boulder Council Candidates,Edward Jabari,,36
2181007809,255,573,City of Boulder Council Candidates,Cha Cha Spinrad,,22
2181007809,255,573,City of Boulder Council Candidates,Bob Yates,,286
2181007809,255,573,City of Boulder Council Candidates,Aaron Brockett,,233
2181007809,255,573,City of Boulder Council Candidates,Julianne McCabe,,58
2181007809,255,573,City of Boulder Council Candidates,Bill Rigler,,136
2181007809,255,573,City of Boulder Council Candidates,Tim Plass,,194
2181007809,255,573,City of Boulder Council Candidates,Cindy Carlisle,,159
2181007809,255,573,City of Boulder Council Candidates,Suzanne Jones,,255
2181007809,255,573,City of Boulder Council Candidates,Michael Kruteck,,183
2181007809,255,573,City of Boulder Council Candidates,Comrade Keith Percy,,9
2181007809,255,573,City of Boulder Council Candidates,Jyotsna Raj,,101
2181007809,255,573,City of Boulder Council Candidates,Jan Burton,,200
2181007809,255,573,City of Boulder Council Candidates,Don Cote,,88
2181007810,255,520,City of Boulder Council Candidates,Jared Kaszuba,,14
