Precinct Name,Active Voters,Total Ballots,Contest Name,Choice Name,Total Votes
2151907002,3.0,0,Proposition HH (Statutory),Yes,0
2151907002,3.0,0,Proposition HH (Statutory),No,0
2151907002,3.0,0,Proposition II (Statutory),Yes,0
2151907002,3.0,0,Proposition II (Statutory),No,0
2151907002,3.0,0,Boulder County Ballot Issue 1A,Yes,0
2151907002,3.0,0,Boulder County Ballot Issue 1A,No,0
2151907002,3.0,0,Boulder County Ballot Issue 1B,Yes,0
2151907002,3.0,0,Boulder County Ballot Issue 1B,No,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,0
2184907003,3.0,0,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,0
2184907003,3.0,0,Proposition HH (Statutory),Yes,0
2184907003,3.0,0,Proposition HH (Statutory),No,0
2184907003,3.0,0,Proposition II (Statutory),Yes,0
2184907003,3.0,0,Proposition II (Statutory),No,0
2184907003,3.0,0,Boulder County Ballot Issue 1A,Yes,0
2184907003,3.0,0,Boulder County Ballot Issue 1A,No,0
2184907003,3.0,0,Boulder County Ballot Issue 1B,Yes,0
2184907003,3.0,0,Boulder County Ballot Issue 1B,No,0
2181207100,1535.0,778,Proposition HH (Statutory),Yes,406
2181207100,1535.0,778,Proposition HH (Statutory),No,359
2181207100,1535.0,778,Proposition II (Statutory),Yes,635
2181207100,1535.0,778,Proposition II (Statutory),No,136
2181207100,1535.0,778,Boulder County Ballot Issue 1A,Yes,625
2181207100,1535.0,778,Boulder County Ballot Issue 1A,No,140
2181207100,1535.0,778,Boulder County Ballot Issue 1B,Yes,486
2181207100,1535.0,778,Boulder County Ballot Issue 1B,No,268
2181207100,1535.0,778,Town of Superior Ballot Question 301,Yes,432
2181207100,1535.0,778,Town of Superior Ballot Question 301,No,274
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Dalton Valette,250
