election_year,election_date,election_type,data_source,jurisdiction_level,jurisdiction_name,precinct_id,precinct_name,contest,contest_type,candidate_or_option,party,votes,active_voters,ballots_cast
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161107001,,Presidential Electors,candidate,George W. Bush,REP,140,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307001,,Presidential Electors,candidate,George W. Bush,REP,221,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307002,,Presidential Electors,candidate,George W. Bush,REP,339,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307003,,Presidential Electors,candidate,George W. Bush,REP,273,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307004,,Presidential Electors,candidate,George W. Bush,REP,158,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307005,,Presidential Electors,candidate,George W. Bush,REP,278,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307006,,Presidential Electors,candidate,George W. Bush,REP,89,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307007,,Presidential Electors,candidate,George W. Bush,REP,204,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307008,,Presidential Electors,candidate,George W. Bush,REP,27,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307009,,Presidential Electors,candidate,George W. Bush,REP,237,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307010,,Presidential Electors,candidate,George W. Bush,REP,178,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307011,,Presidential Electors,candidate,George W. Bush,REP,246,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307012,,Presidential Electors,candidate,George W. Bush,REP,71,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307013,,Presidential Electors,candidate,George W. Bush,REP,174,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307014,,Presidential Electors,candidate,George W. Bush,REP,144,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307015,,Presidential Electors,candidate,George W. Bush,REP,196,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307016,,Presidential Electors,candidate,George W. Bush,REP,268,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307017,,Presidential Electors,candidate,George W. Bush,REP,72,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2161307018,,Presidential Electors,candidate,George W. Bush,REP,214,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2163307001,,Presidential Electors,candidate,George W. Bush,REP,127,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2163307002,,Presidential Electors,candidate,George W. Bush,REP,343,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2163307003,,Presidential Electors,candidate,George W. Bush,REP,202,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2163307004,,Presidential Electors,candidate,George W. Bush,REP,351,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2163307005,,Presidential Electors,candidate,George W. Bush,REP,265,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2163307006,,Presidential Electors,candidate,George W. Bush,REP,334,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2163307007,,Presidential Electors,candidate,George W. Bush,REP,340,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2163307008,,Presidential Electors,candidate,George W. Bush,REP,501,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171007001,,Presidential Electors,candidate,George W. Bush,REP,227,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171007002,,Presidential Electors,candidate,George W. Bush,REP,97,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207001,,Presidential Electors,candidate,George W. Bush,REP,268,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207002,,Presidential Electors,candidate,George W. Bush,REP,439,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207003,,Presidential Electors,candidate,George W. Bush,REP,411,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207004,,Presidential Electors,candidate,George W. Bush,REP,301,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207005,,Presidential Electors,candidate,George W. Bush,REP,153,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207006,,Presidential Electors,candidate,George W. Bush,REP,260,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207007,,Presidential Electors,candidate,George W. Bush,REP,332,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207008,,Presidential Electors,candidate,George W. Bush,REP,251,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207009,,Presidential Electors,candidate,George W. Bush,REP,323,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207010,,Presidential Electors,candidate,George W. Bush,REP,273,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207011,,Presidential Electors,candidate,George W. Bush,REP,146,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207012,,Presidential Electors,candidate,George W. Bush,REP,230,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207013,,Presidential Electors,candidate,George W. Bush,REP,265,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207014,,Presidential Electors,candidate,George W. Bush,REP,162,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207015,,Presidential Electors,candidate,George W. Bush,REP,242,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207016,,Presidential Electors,candidate,George W. Bush,REP,226,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207017,,Presidential Electors,candidate,George W. Bush,REP,223,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207018,,Presidential Electors,candidate,George W. Bush,REP,278,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207019,,Presidential Electors,candidate,George W. Bush,REP,176,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207020,,Presidential Electors,candidate,George W. Bush,REP,192,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207021,,Presidential Electors,candidate,George W. Bush,REP,298,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207022,,Presidential Electors,candidate,George W. Bush,REP,384,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207023,,Presidential Electors,candidate,George W. Bush,REP,208,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207024,,Presidential Electors,candidate,George W. Bush,REP,250,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207025,,Presidential Electors,candidate,George W. Bush,REP,272,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207026,,Presidential Electors,candidate,George W. Bush,REP,261,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207027,,Presidential Electors,candidate,George W. Bush,REP,226,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207028,,Presidential Electors,candidate,George W. Bush,REP,203,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207029,,Presidential Electors,candidate,George W. Bush,REP,172,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207030,,Presidential Electors,candidate,George W. Bush,REP,159,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207031,,Presidential Electors,candidate,George W. Bush,REP,340,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2171207032,,Presidential Electors,candidate,George W. Bush,REP,247,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2173307001,,Presidential Electors,candidate,George W. Bush,REP,354,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2173307002,,Presidential Electors,candidate,George W. Bush,REP,305,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2173307003,,Presidential Electors,candidate,George W. Bush,REP,391,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2173307004,,Presidential Electors,candidate,George W. Bush,REP,514,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2173307005,,Presidential Electors,candidate,George W. Bush,REP,442,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007001,,Presidential Electors,candidate,George W. Bush,REP,211,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007002,,Presidential Electors,candidate,George W. Bush,REP,422,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007003,,Presidential Electors,candidate,George W. Bush,REP,194,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007004,,Presidential Electors,candidate,George W. Bush,REP,284,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007005,,Presidential Electors,candidate,George W. Bush,REP,108,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007006,,Presidential Electors,candidate,George W. Bush,REP,220,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007007,,Presidential Electors,candidate,George W. Bush,REP,132,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007008,,Presidential Electors,candidate,George W. Bush,REP,215,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007009,,Presidential Electors,candidate,George W. Bush,REP,120,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007010,,Presidential Electors,candidate,George W. Bush,REP,149,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007011,,Presidential Electors,candidate,George W. Bush,REP,300,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007012,,Presidential Electors,candidate,George W. Bush,REP,378,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007013,,Presidential Electors,candidate,George W. Bush,REP,332,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007014,,Presidential Electors,candidate,George W. Bush,REP,142,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007015,,Presidential Electors,candidate,George W. Bush,REP,304,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007016,,Presidential Electors,candidate,George W. Bush,REP,101,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007017,,Presidential Electors,candidate,George W. Bush,REP,101,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007018,,Presidential Electors,candidate,George W. Bush,REP,101,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007019,,Presidential Electors,candidate,George W. Bush,REP,106,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007020,,Presidential Electors,candidate,George W. Bush,REP,110,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007021,,Presidential Electors,candidate,George W. Bush,REP,158,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007022,,Presidential Electors,candidate,George W. Bush,REP,130,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007023,,Presidential Electors,candidate,George W. Bush,REP,242,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007024,,Presidential Electors,candidate,George W. Bush,REP,99,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007025,,Presidential Electors,candidate,George W. Bush,REP,97,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007026,,Presidential Electors,candidate,George W. Bush,REP,119,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007027,,Presidential Electors,candidate,George W. Bush,REP,70,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007028,,Presidential Electors,candidate,George W. Bush,REP,69,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007029,,Presidential Electors,candidate,George W. Bush,REP,120,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007030,,Presidential Electors,candidate,George W. Bush,REP,86,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007031,,Presidential Electors,candidate,George W. Bush,REP,55,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007032,,Presidential Electors,candidate,George W. Bush,REP,177,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007033,,Presidential Electors,candidate,George W. Bush,REP,127,,
2004,2004-11-02,general,secretary_of_state,state,Boulder County,2181007034,,Presidential Electors,candidate,George W. Bush,REP,365,,
