election_year,election_date,election_type,data_source,jurisdiction_level,jurisdiction_name,precinct_id,precinct_name,contest,contest_type,candidate_or_option,party,votes,active_voters,ballots_cast,source_file,source_url,retrieved_at,extraction_quality,extraction_notes
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207100,100,Town of Superior - Trustee,candidate,Heather Cracraft,,516,1569,1325,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207100,100,Town of Superior - Trustee,candidate,Jason Serbu,,528,1569,1325,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207100,100,Town of Superior - Trustee,candidate,Mike Foster,,592,1569,1325,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207100,100,Town of Superior - Trustee,candidate,Gregory D. Horowitz,,401,1569,1325,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207100,100,Town of Superior - Trustee,candidate,George A. Kupfner,,142,1569,1325,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207100,100,Town of Superior - Trustee,candidate,Sandie Hammerly,,615,1569,1325,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207101,101,Town of Superior - Trustee,candidate,Heather Cracraft,,425,1378,1193,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207101,101,Town of Superior - Trustee,candidate,Jason Serbu,,487,1378,1193,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207101,101,Town of Superior - Trustee,candidate,Mike Foster,,567,1378,1193,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207101,101,Town of Superior - Trustee,candidate,Gregory D. Horowitz,,338,1378,1193,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207101,101,Town of Superior - Trustee,candidate,George A. Kupfner,,113,1378,1193,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207101,101,Town of Superior - Trustee,candidate,Sandie Hammerly,,540,1378,1193,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207102,102,Town of Superior - Trustee,candidate,Heather Cracraft,,336,1235,965,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207102,102,Town of Superior - Trustee,candidate,Jason Serbu,,253,1235,965,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207102,102,Town of Superior - Trustee,candidate,Mike Foster,,284,1235,965,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
2024,2024-11-05,general,boulder_county,county,Boulder County,2181207102,102,Town of Superior - Trustee,candidate,Gregory D. Horowitz,,203,1235,965,2024-general-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2024/12/2024G-Boulder-County-Amended-Statement-of-Votes.xlsx,2024-12-06T00:41:31+00:00,machine_readable,
